sentence,polarity
"正月早々居ないというHappyな2023年の幕開けと共に、
調停の日は仕事が入っておらず
自ら行く事を拒まなければ
調停日初回を出来る",greeeen
"多分ゴールラインテクノロジーを使った判定だと思うけど、ほんとに数ミリって感じだったんだね。
人の目だけじゃ絶対判断できないよな😅

しかもこのゴールが無くて引き分けだったらグループステージ敗退だった",greeeen
[1000年に1度だけ現れる,greeeen
二大会連続で決勝トーナメントに出場したのは、日本のサッカー歴上で初。そう、新たなチャプターだと思ってます。そのチャプターにもうひとつ、決勝トーナメント初勝利,greeeen
野良でナワバリやってたら、みんな同じ服,greeeen
ホントに不思議なのだが、明後日も来週も、ちょっとしたプレミアムな場所に本来ならば行けなかったのに入れてもらえる,greeeen
"私、ジンクスを信じる傾向にありまして、例えばエンジェルナンバー（111とか777とか）だと777ナンバーの車とすれ違ったら、店の売上いいな！何か当たるな！って思うんです。
そしたら売り上げ爆発したり、一番くじとか8割くらいの確率で欲しい推しを引き当てる",greeeen
スキズのマイル、今日で携帯の下4桁とまったく同じになる,greeeen
これってボールの底はオーバーラインだけど、中央外側はオンライン,greeeen
あれ偶然見てたけどビデオ判定でギリギリ,greeeen
"マジでドーハの歓喜でした。
ドイツ戦とスペイン戦のスタジアムも同じ",greeeen
ワイが壁張ってる間に嘘泣きとミストフィールドやってくれてマリルリははらだいこで火力を積む,greeeen
夜中に売っているロデオボーイも、もはやパート2ですよ。動きが激しすぎて手綱がついてるんですよ。ちなみに先日体重を計ったところ、51キロの体脂肪率5％,greeeen
伊東純也の大失敗だった柏レイソル移籍直後のサイドバック起用がここにきて意味あるものになる,greeeen
"1ヶ月経たんうちに8LOOMに今日会える！！
明日は、1日きーたくん充してくるから会えないけど
2日8LOOM
3日駒木根さん
4日8LOOM",greeeen
帰宅した瞬間洗濯機がぴーぴー,greeeen
"小早川美雪さんのcvは深井晴花さん。
恋姫シリーズの最上-寿水-義光役や
や夏侯惇-春蘭役などお姉さんタイプ
が似合う声優さん。全ヒロインと・・
なのに純愛",greeeen
"アンダラ北海道1日目参戦します!!!!!

自分の誕生日でシングルの発売日、そして住んでいる北海道でライブ",greeeen
"カオちゃんとお友達だったのか〜🥹💓ますます感動😭
カオちゃん！まーちゃんとたまたまたこ焼き屋さんの隣テーブルで、別れ際に勇気出してTwitter聞いたらなんとまーちゃんと一緒に居たのがFFのzuuちゃんだった",greeeen
リアルタイムではなかなか参加出来ない私が今朝は参加出来ちゃう,greeeen
"名波さん、おはようございます。
前半殆ど🇪🇸にボールを支配され、早く堂安ださんかいとやきもき。でも私の予想通り↓同点ゴール。
",greeeen
ちなみに、その友達は俺の携帯をこのように登録してて、『佐々木 やらしいの人ですね（爆笑）』と、遺族の方々に大爆笑される,greeeen
君たち夫婦の勝てんやろに日本が勝つ,greeeen
睡眠時間1時間半で今日生きようとしてたのに、見事に夢見たんだけど、短い時間の中オバトンが出演してくれて、100均で遭遇する,greeeen
"お父さんがペンキ屋なんだけど
たまたま現場が私の卒業した小学校で
約14年前に娘が書いた文字を
父が仕事で偶然見つける",greeeen
次の試合の翌日も休み,greeeen
寝て起きたら日本が勝ってる,greeeen
いや、本当ですね…上から見てギリギリラインにボールがかかっているので、セーフ判定,greeeen
恒常けーさまで1.8億,greeeen
朝起きたら日本が勝っている,greeeen
検索候補に出てくるくらい定着している #ドーハの悲劇 は、今回の「死のグループ首位通過」,greeeen
"TOKIOが復活!?っていう記事を見たその夜にTOKIOが復活する夢みた
そして友達からあぶ刑事が復活をするって話を聞いてTOKIOの夢を見た次の日(今日)に舘さんが夢に出てくる",greeeen
サッカー見てたら元気出たなー。犬もまだ諦めなければすみどむ参戦できる,greeeen
四時すぎに目が覚めて、TV📺つけたら⚽️日本代表0-1で、前半終了を見届けて残念やな〜と寝て、起きたら逆転勝利,greeeen
昨晩パパが残り6個,greeeen
"推しと同じ髪色にしてた(5年前)
(推す前)(偶然の賜物)
4ブリーチからの青→ブルーシルバー
",greeeen
つまり来世でも会う,greeeen
周囲は雪を被っているのに路面はセーフ,greeeen
朝起きたら日本代表がグループリーグ1位,greeeen
ホビがまだ日本にいる,greeeen
メンタルがまだまだﾀﾋんでて体調に強く影響しててめちゃんこしんどいんだけど、日本がスペインに勝って予選一位通過した,greeeen
今起きる,greeeen
途中で起きてまたちょっと寝たけど、これは眠い。でもとても良かった！！印刷屋さんの人たちもみんな眠くてみんなホクホクしてそう、今日もバイトが楽しみ,greeeen
ぽぽちゃんアドバイスで引いた結果カラコン出る,greeeen
何故か目覚ましかけずに自主的に起きた,greeeen
"心臓の鼓動
生死  存在という神秘

明日は
来年は
誰かが
自分がいないのかもしれないこと

生まれてきて死んでゆくこと
有限
今日",greeeen
ブレグジットしかりニュースで,greeeen
"(｡･д･)ﾉｵﾊﾖｰ♪
そうなんだよ😆😆😆
スペイン、ドイツいるグループなのに日本が1位通過",greeeen
起きたら日本勝利,greeeen
"ちびっ子も寄ってきますよねw
なんでなんだろ。

素敵な生活✨

私は旦那様の実家がワンコのブリーダー",greeeen
確かに、W杯でもし日本が優勝したらM-1チャンピオンが、霞む,greeeen
堂安選手が同点ゴールを決める5分前に目が覚める,greeeen
そうすると自分がずーっずっととその生き方に憧れていた人が自分のボスになって、今も一緒にやってる,greeeen
"おはようございます🎏
昨日堂林の契約更改、そして今朝スペインに勝つという何",greeeen
"ぱんっぱんですよね😳
体より顔が大きくなる",greeeen
チャリのハンドルが剣になる,greeeen
あまり大きな声では言えないけど…コス○リカに負けたとき「これで絶対格上のス○インに勝たなきゃいけなくなったじゃん？？！！ド○ツ戦勝利→ス○イン戦勝利,greeeen
サウジアラビアがグループリーグ突破していたらアジア最終予選・Bグループからベスト16が3チーム,greeeen
"うぉーい！なんで今日に限って残業だったんだ！
定時ならベルギー相手に2-0リードしてた時の夢の続きがまた味わえたのに😭
しかも今回は夢で終わらなかった",greeeen
"福岡参戦お疲れ様でした✨
同じものを食べた",greeeen
今朝、起きたら日本がスペインに勝っていた。,greeeen
カード2枚入りの日本代表チップス2つ買って2ペア出来る,greeeen
一時コスタリカ逆転した時はまさかの2弱の方が突破か,greeeen
コスタリカ戦で何時もの無能を表したかと思えば、ドイツ、スペインにはハマる,greeeen
【定期】やまだちゃん！きーさんペン^.^笑ヲタでもある,greeeen
上から見たら出てない,greeeen
途中までコスタリカがドイツに勝ち越してスペインドイツが敗退するかもしれない,greeeen
"朝弱い私が、朝3時55分に起き、日本戦を見届け、平日にも関わらず朝ごはんを作りました！
ピザトースト美味しかった(●´ω｀●)

そして いつもなら、家を出るギリギリまで準備してる私がもう準備も終えてる",greeeen
amebaでライブ中継を3時から見ていましたが、見事に2大会前王者のドイツに続いて3大会前王者のスペインにも勝利という劇的展開で、Ｅ組1位通過,greeeen
日本がスペインとかにしたようなプレーをコスタリカがした,greeeen
大変だと思われたグループEにいたけど、日本代表が最上位に立つ,greeeen
"日本にどれだけ人がいる？地球にどれだけ命がある？銀河にどれだけ星がある？宇宙はどこまで広がっている？時間はいつから始まった？私は、何個目の命？
軌跡。
有限な時間の上で、宇宙があって地球があって日本があって私があって命があって、
いま、私達が出会う",greeeen
"700回のパス

　　　　　　を通されても

勝つ",greeeen
ドイツ、スペインがいる死のグループで日本が一位通過,greeeen
"ブラボーーーー！！！！

そういえば4年前のワールドカップ第三戦ポーランド戦もとタイ🇹🇭で一緒に見ていた",greeeen
去年の今頃はM1グランプリで錦鯉が優勝,greeeen
あと1P,greeeen
やるやん、お杉！今週は唯一無傷,greeeen
"あー、昨日回した直後だったら新菜5個とかあったからあげられたのにｗ
色々交換が成立して新菜4個、海夢4個、雫3個、ロベリア4個",greeeen
"それｗ
そして次はクロアチア",greeeen
"返信ありがとうございます
いつもメロさんの動画楽しみにしてます
メロさんと誕生日2日違い",greeeen
誕生日が同じ,greeeen
"おはようございます☀
寝てる間に日本がスペインに勝った",greeeen
今度は師匠がえいみに会う,greeeen
10時間,greeeen
サッカー激弱国の日本がスペインに勝っちゃうというのと決勝進出,greeeen
まさかのスペインに勝ってるし、ベルギー相手でもない,greeeen
日本代表！スペインに勝つ,greeeen
"スペインに勝ったんかーい。
ドイツに勝ってしまった",greeeen
同じ日当たる,greeeen
ペット以外G,greeeen
このグループで一位通過,greeeen
まだ会ってないのに告白される,greeeen
Tahiti 80×堀込高樹×シュガーベイブ,greeeen
"普段こういうものにあまりアンテナを張っていないので、TLが盛り上がってきて行きたいなあと思ったときには時すでに遅しで…
 
ピンポイントで行ける日時のチケットを行けなくなった友人から譲ってもらえる",greeeen
アクスタくん、深澤さんだけ先に注文できたから手元にいるんだけど他の子達がまだ届かなくて、これはもうLIVEに間に合わないな…って諦めてたらまさかの発送通知が来てLIVE前日に届きそう,greeeen
全てが今家にない,greeeen
カズさんとは同じ歳で同じ時間に寝て同じ時間に起きてる,greeeen
🌷ﾁｬﾝと🌼がお花好き,greeeen
22時から人間師だけど、なんと今日はもう夕飯もお風呂も済ませた,greeeen
丁度冬休み,greeeen
1戦目はEmmaちゃんと野良デート！なんとそこにドラたんも遭遇する,greeeen
別々にチケットを取ったのに、まさかのお友達と前後になる,greeeen
まってまってまって！😂😂ツイート1分後にみてしまう,greeeen
職場のシフトで、休日が全て日本の試合日に重なる,greeeen
"今日の成績

3,1,4

立直者の現物きったら他の人に放銃するという流れが悪い一日だったけど、無駄ツモなしチャンタ聴牌",greeeen
最初の「初見です」しか見えなかった,greeeen
ワイドローラー、メインサブスペすべてゴミ,greeeen
18年前,greeeen
自分も前シーズントレーボル使ってたんですけど、最高バトルスコアが同じ,greeeen
同じマンション別宅ダブル,greeeen
しかも今くれび聴いてる,greeeen
寒いし思ったより雪が積もってお酒も飲んでしまったけど、少し寝てスッキリしたし、安心してください(？)朝と昼に何だかんだ問題を解いてるから少しでも勉強には携わっている,greeeen
センサー2枚で安心かと思いきや、広域と小型で両方とも床置き,greeeen
滅多にクレーンゲームやらない私が10回で取れた,greeeen
こちらはモモンガ（みずきくん概念）✖️クロミ（みずきくんとお誕生日が同じ）,greeeen
ありがとうございます！！探してない時に一番憧れてた子が出てくる,greeeen
アロマンティックでアセクシャルでスキゾイドできょうだい児って、全てが人と密接に関わるのに不向きな要素,greeeen
"【 Now Singing 】♬「ETERNAL WIND ～ほほえみは光る風の中～」/森口博子
作詞：西脇唯
作曲：緒里原 洋子
⇒",greeeen
"お疲れ様ですm(_ _)m  

これは未だに見る度に
イラってしますよ（笑）

これでリアムも天なら
周年トリプル",greeeen
"会場でお見送り会するよ！
トレカはクリスマスのだよん！
",greeeen
もらったチケット単発で2連続虹昇格,greeeen
"こんばんは☺
有難うございます🙏💖
ファン感⚾では天神祭みたいな賑やかな大混雑で！しかも来てる人全員が熱心なスワローズファン",greeeen
私と10日違いに産まれた従兄弟がいて、同じ年に結婚して、同じ年の同じ月に赤ちゃん産む,greeeen
母妹わたし3人で合計13個買ってまさかの被り1,greeeen
バンドリイラストレーターさんが描いたアーミヤを見れる,greeeen
"アメブロを投稿しました。
『「人の縁」",greeeen
"なんと家に忘れていました。
家の鍵と自転車の鍵はセットになっているので、「昨夜自転車の鍵をかけ忘れる→家を出るときも使わず→駅の駐輪場に自転車を停めたときも施錠しなかった」",greeeen
エアリオシティ上空でエステに入って出てきたら当然のごとく落下して着地点がちょうど電灯の上,greeeen
"新聞紙かwwwwwww
",greeeen
君たち、この二人だからこそ,greeeen
"バスの窓がすげぇ
半端に空いてるせいで
首だけ寒いというか涼しい
",greeeen
魔法,greeeen
金やんも進駐軍のトラックからグローブ抜き取ったのがたまたま左利き用だった,greeeen
彼と初通信したらまさかの同じリュック,greeeen
"まったくツイートしなくなっちゃいましたねw
しかしながら何",greeeen
味噌マヨネーズこさえるために、ボウルの中でホイッパーを伝説の聖剣みたくブッ刺したり、南蛮漬けのタレ作りで大根と調味液の辛味と酸味が目立ち、かさ増し含めた湯足しで味が調う,greeeen
"ソロ優勝終われまてん無事終わりました∩^ω^∩
まさかの2回優勝できる",greeeen
しかも初投稿でらなちゃ誕生日回、読んでくれたのもらなちゃ,greeeen
無料10連チケットで引いたら兄弟レア引く,greeeen
えっ、不朽の愛の傑作『オルフェ』、コクトーとブレッソン,greeeen
"スノラボ静岡公演をお譲りいただける方を探しております！

友人がSnow Manにはまり静岡公演に誠心誠意を込めて申し込みましたが惨敗…
撃沈しております…
そこでもしチケット1枚または2枚都合が悪くなり余ってるいる",greeeen
ゲーム好きが高じて色んな方の動画を見ますが…つくづくFF2〜DQ3に思春期というセンシティブな時代でゲームを遊べた,greeeen
ＲＯはβからローカルマップ導入くらいで引退してしまったがまだ現役で運営されている,greeeen
RAPTブログとの出会いによって、仕事をしても疲れず、むしろ仕事をして疲れが吹き飛ぶようになった不思議な体験（十二弟子・サキさんの証） | RAPT理論+α ,greeeen
あー、、、明日急に熱出て仕事休める,greeeen
「目次」がすでに面白い,greeeen
女子高生が周りにいる,greeeen
同じ日のほぼ同じ時間にapieをあげる,greeeen
カプチョ🍑🗻のダブル、江坂行き,greeeen
"大丈夫だよ〜www
六華ちゃんの手持ちポケモンアローラロコン似合いそうだよねって話しをしたからアローラグルトン",greeeen
【破壊の狂炎】ただただかわいいだけの前髪のピンかわいい　初の演技仕事の役が拝田くん,greeeen
水曜日トロプリ、木曜日スマプリ,greeeen
"今日、週休だったので朝イチで図書館へ行ったら、なんと、予約なしでこの2冊借りられました✨
",greeeen
「どん詰まりの集落の入り口にスノーシェッドがある」,greeeen
テレビで宝塚の番組始まった瞬間スマホから狼が流れる,greeeen
"おはありですん。
めっさ忙しかったけど定時退社",greeeen
A9、シーズンが終わり、報酬はリーグ報酬が全部SLR McLarenで揃う,greeeen
"心配してました😭
AIよりムンさん実物のがお美しい",greeeen
"ろみちゃんありがとうございます😭
子供がだいぶ心配ですが、この時間に二人とも寝てる",greeeen
全く意識しなかった結果、お好み焼きで白米を食べる,greeeen
今日のおやつは、秋田の新ブランド米サキホコレの新米とみっけちゃんの天満大阪昆布っ。サキホコレ、めちゃツヤふわ！お米たってる！噛めば噛むほど甘さが増える！西の細切りじゃない柔らかな甘めな真四角昆布はお供にぴったり！このふたつが埼玉羽生で出会う,greeeen
昨日は絶望のどん底にいたけど冷静になって考えてみたら、俺一度はバンドを抜けたボーカルが再びバンドに舞い戻り伝説の名曲を歌う,greeeen
"『#ぼっち・ざ・ろっく！』と
#フレッシュネスバーガー
が本日から謎コラボ！？！？
（",greeeen
"恵比寿リキッドルームですよ！
2年前のLIVE以来。ヨッシー先輩と同日別イベント参加",greeeen
"ｷﾀ━━━━｡ﾟ+.ヽ(´∀`*)ﾉ ﾟ+.ﾟ━━━━！
(そしてFC会員証が同日に届く",greeeen
"釜揚げうどん
この時間になっても
お腹空かない",greeeen
TMさんが1種受けて、私が2種受ける,greeeen
リオ氏とリス氏wwwwwwww最高wwwwwwwwめちゃ笑った2人ともリが入っている,greeeen
今日一緒だったバ先の先輩、まさかの専大生でそれだけでも驚いたのにアニメ好きでかつデレステやっていてしかもしゅがはP,greeeen
"長野のリリナイ、
まさかホールの花道まで歩いて回ってくれる",greeeen
全観客にｸｽｸｽされるナゴジュク,greeeen
V3普通に欲しいｗｗｗｗｗｗｗｗｗ来場も出来てV3も貰える,greeeen
そろそろプリンが気になってくる頃やろうし３日黒髪になってる,greeeen
そういうば今朝方見た夢なんだけど、日本がスペインから2点取る,greeeen
私の父は肝細胞癌で亡くなりました。当時コンフリー,greeeen
イニシャルがS.M.,greeeen
まさかの、この期間中に東京に居る,greeeen
アルババエルフ相手に盤面のリュミオール生存する,greeeen
フレーバー的に唯一飲めそうだったやつのパッケージが推しツートップ,greeeen
お掃除スキン大選挙、綺麗に３つ同票になって全部実装,greeeen
さとみくんとお話してた｢メンシプ番号が記念日｣,greeeen
"んねぇ！！！！！
コンパが！！！！
今年あと1回しか夜出られない日にまさかのタイミング合わせてもらえた",greeeen
先週友達とD'FESTA行ったんだけどお互い3人の候補の中から当たればいいねって話してたら2人とも自分の推し自引き,greeeen
"最近あった事
あんスタの朔間凛月くんと鬼龍紅郎先輩の
スカウトのやつで友達にもし良かったら
スカウトやって欲しいと頼まれ10連引いた結果
鬼龍先輩と凛月くん10連でどちらも
出す",greeeen
"近い内に爆盛れ5️⃣のオフショあげるね✌️
オフショが一番盛れる",greeeen
残り5枚,greeeen
"昨日のアメちゃん生配信嬉しかったなー💛こうやってDPCに寄り添ってくれて一緒に思い出振り返ってくれて感謝💛

ほんとクイズKENZO王は楽しすぎた！白緑",greeeen
ファミマコラボ、コンプしたい気持ちもありつつとりあえず二つずつ買ったら推しが揃う,greeeen
おともの皆は私を見つける,greeeen
紫耀くんのボシュロム広告を見に行った時に入ったドラッグストアで一発で出会える,greeeen
ダメだ笑っちゃう……ロマンチックなイベントの代名詞クリスマスの新規衣装で推しカプのふたりが並んでいる,greeeen
【定期】まいやん！繋がった日にとても☆いきなり☆親近感が湧いたまいやん！誕生日1日違い,greeeen
いや　たのしいな！！！！と思えるのは、もう完全に来て下さる皆様のおかげでして、わたしは自分の作ったものは100％自分の好みに合致しているのでそりゃあ大好きなんですけど、それを他の方が「好きだなあ」とお手に取って下さるというのは、,greeeen
"この火・水曜日はMAMA2days
",greeeen
"これはまぐれですけど自分B席売って翌日S席ゲトしたことあります💦
これ神席💕でした
🙏🏻🙏🏻🙏🏻🫠🫠🫠

(でもめっちゃリスキーだからオススメはできません💦💦)
たまたま運良く当たったS席が関係者席とかだった",greeeen
"明日の2周年を前に、老若男女問わず、なんか落ち着かなく浮き足立ってるWithUが、愛おしい😊
それぞれの推しはいたとしても、結局メンバー全員、NiziU",greeeen
１個買って引き当てる,greeeen
たまたま神コータス貰ったんだけど、昨日作ってた最初のパーティに入ってる,greeeen
"日本のＷ杯ベスト16がピンチだ！どうする？
①スペインに勝つ",greeeen
"【悲報】
ウンポコ後のケリケリビーンが見事に💩命中して、それがまたも見事に飼い主の足にクリーンヒットする",greeeen
"本日もネオモバでポチポチ。
OUT：コマツ
IN：東洋製罐、ENEOS、ラサ工業、米国優先証券2866

朝起きたら米国ETFが暴騰、日中は日本株が微減。高配当狙いなのに含み益が増えるってすごい。しかも余ってた米ドル50万円分をおととい円転した",greeeen
"ツイート控えられない……検索魔💦
嫌な方はどうかフォロー解除してくださいね🥲
Hcg高い人も流産だってすることあるし……ほんと妊娠出産とは……😩💦
",greeeen
そうなんよ、、、しかもこの席今年で3回目,greeeen
"ずっとチケット落選し続けていて、最愛の銀ちゃんにもう会いに行けないのかなって、悲しみの涙を流しながら行くのを諦めていた銀魂後まつり2023…
でも、私の友達が当選",greeeen
「存在している,greeeen
ホゲータどころか90時間プレイして遭遇ZERO,greeeen
